Enterprise;Storage;Storage unit;Storage type;CPU;Memory;Memory unit;Bandwidth;Bandwidth unit;Price mo
Vultur;10;GB;SSD;1;512;MB;0.5;TB;2.5
Vultur;10;GB;SSD;1;512;MB;0.5;TB;3.5
Vultur;25;GB;SSD;1;1024;MB;1.0;TB;5.0
Vultur;55;GB;SSD;1;2;GB;2.0;TB;10.0
Vultur;80;GB;SSD;2;4;GB;3.0;TB;20.0
Vultur;160;GB;SSD;4;8;GB;4.0;TB;40.0
Vultur;320;GB;SSD;6;16;GB;5.0;TB;80.0
Vultur;640;GB;SSD;8;32;GB;6.0;TB;160.0
Vultur;1280;GB;SSD;16;64;GB;10.0;TB;320.0
Vultur;1600;GB;SSD;24;96;GB;15.0;TB;640.0
Digital Ocean;25;GB;SSD;1;1;GB;1;TB;5.0
Digital Ocean;50;GB;SSD;1;2;GB;2;TB;10.0
Digital Ocean;60;GB;SSD;1;3;GB;3;TB;15.0
Digital Ocean;60;GB;SSD;2;2;GB;3;TB;15.0
Digital Ocean;60;GB;SSD;3;1;GB;3;TB;15.0
Digital Ocean;80;GB;SSD;2;4;GB;4;TB;20.0
Digital Ocean;160;GB;SSD;4;8;GB;5;TB;40.0
Digital Ocean;320;GB;SSD;6;16;GB;6;TB;80.0
Digital Ocean;640;GB;SSD;8;32;GB;7;TB;160.0
Digital Ocean;960;GB;SSD;12;48;GB;8;TB;240.0
Digital Ocean;1280;GB;SSD;16;64;GB;9;TB;320.0
Digital Ocean;1920;GB;SSD;20;96;GB;10;TB;480.0
Digital Ocean;2560;GB;SSD;24;128;GB;11;TB;640.0
Digital Ocean;3840;GB;SSD;32;192;GB;12;TB;960.0
